date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:54:52	97/97	---M-Z	200	added ('OK')	text/plain	date:Thu,%2019%20Mar%202026%2013:53:27%20GMT	https://oliverstadie.com/robots.txt		(from )
14:54:53	53745/53745	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Mar%202026%2013:53:27%20GMT	https://oliverstadie.com/	D:/dev/wp-portfolio-scraped/archive-portfolio-wp-2026/oliverstadie.com/index.html	(from )
14:54:54	62055/62055	---M-Z	200	added ('OK')	text/css	etag:W/%220-gzip%22	https://oliverstadie.com/wp-content/plugins/contact-bank/assets/css/A.stylesheet.css,qver=4.5.32.pagespeed.cf.XGToGBVO0d.css	D:/dev/wp-portfolio-scraped/archive-portfolio-wp-2026/oliverstadie.com/wp-content/plugins/contact-bank/assets/css/A.stylesheet.css,qver=4.5.32.pagespeed.cf.XGToGBVO0d.css	(from https://oliverstadie.com/)
14:54:54	311/311	---M--	200	added ('OK')	image/png	etag:W/%220%22	https://oliverstadie.com/wp-content/plugins/contact-bank/assets/images/icons/xicon-error.png.pagespeed.ic.Z9HAGW-orp.png	D:/dev/wp-portfolio-scraped/archive-portfolio-wp-2026/oliverstadie.com/wp-content/plugins/contact-bank/assets/images/icons/xicon-error.png.pagespeed.ic.Z9HAGW-orp.png	(from https://oliverstadie.com/)
14:54:54	743/743	---M-Z	200	added ('OK')	application/rss+xml	etag:%2299b889a9cd748e8b4eca0eb3758d138d-gzip%22	https://oliverstadie.com/comments/feed/	D:/dev/wp-portfolio-scraped/archive-portfolio-wp-2026/oliverstadie.com/comments/feed/index.html	(from https://oliverstadie.com/)
14:54:54	744/744	---M-Z	200	added ('OK')	application/rss+xml	etag:%2299b889a9cd748e8b4eca0eb3758d138d-gzip%22	https://oliverstadie.com/oliver-stadie-computer-scientist/feed/	D:/dev/wp-portfolio-scraped/archive-portfolio-wp-2026/oliverstadie.com/oliver-stadie-computer-scientist/feed/index.html	(from https://oliverstadie.com/)
14:54:55	412/412	---M--	200	added ('OK')	image/png	etag:W/%220%22	https://oliverstadie.com/wp-content/plugins/contact-bank/assets/images/icons/xicon-succes.png.pagespeed.ic.TEX8VyYNJx.png	D:/dev/wp-portfolio-scraped/archive-portfolio-wp-2026/oliverstadie.com/wp-content/plugins/contact-bank/assets/images/icons/xicon-succes.png.pagespeed.ic.TEX8VyYNJx.png	(from https://oliverstadie.com/)
14:54:55	12562/12562	---M-Z	200	added ('OK')	text/css	etag:W/%220-gzip%22	https://oliverstadie.com/wp-content/plugins/custom-twitter-feeds/css/A.ctf-styles.css,qver=1.1.1.pagespeed.cf.n4GvJacAoG.css	D:/dev/wp-portfolio-scraped/archive-portfolio-wp-2026/oliverstadie.com/wp-content/plugins/custom-twitter-feeds/css/A.ctf-styles.css,qver=1.1.1.pagespeed.cf.n4GvJacAoG.css	(from https://oliverstadie.com/)
14:54:55	5278/5278	---M-Z	200	added ('OK')	text/css	etag:W/%220-gzip%22	https://oliverstadie.com/wp-content/plugins/header-customizer-lite/assets/css/A.style.min.css,qver=4.5.32.pagespeed.cf.HoyvvA4jvy.css	D:/dev/wp-portfolio-scraped/archive-portfolio-wp-2026/oliverstadie.com/wp-content/plugins/header-customizer-lite/assets/css/A.style.min.css,qver=4.5.32.pagespeed.cf.HoyvvA4jvy.css	(from https://oliverstadie.com/)
14:54:56	49104/49104	---M-Z	200	added ('OK')	text/css	etag:W/%220-gzip%22	https://oliverstadie.com/wp-content/themes/baskerville/A.style.css,qver=4.5.32.pagespeed.cf.H09Ox_he1L.css	D:/dev/wp-portfolio-scraped/archive-portfolio-wp-2026/oliverstadie.com/wp-content/themes/baskerville/A.style.css,qver=4.5.32.pagespeed.cf.H09Ox_he1L.css	(from https://oliverstadie.com/)
14:54:57	56968/56968	---M-Z	200	added ('OK')	text/css	etag:W/%220-gzip%22	https://oliverstadie.com/wp-content/plugins/jetpack/css/A.jetpack.css,qver=4.0.7.pagespeed.cf.HEA9KOq8ox.css	D:/dev/wp-portfolio-scraped/archive-portfolio-wp-2026/oliverstadie.com/wp-content/plugins/jetpack/css/A.jetpack.css,qver=4.0.7.pagespeed.cf.HEA9KOq8ox.css	(from https://oliverstadie.com/)
14:54:59	161122/161122	---MCZ	200	added ('OK')	text/css	etag:W/%220-gzip%22	https://oliverstadie.com/wp-content/plugins/simple-follow-me-social-buttons-widget/assets/css/A.icons.css,qver=3.3.3.pagespeed.cf.yP3KIzS-1V.css	D:/dev/wp-portfolio-scraped/archive-portfolio-wp-2026/oliverstadie.com/wp-content/plugins/simple-follow-me-social-buttons-widget/assets/css/A.icons.css,qver=3.3.3.pagespeed.cf.yP3KIzS-1V.css	(from https://oliverstadie.com/)
14:54:59	830/830	---M-Z	200	added ('OK')	text/xml	date:Thu,%2019%20Mar%202026%2013:53:33%20GMT	https://oliverstadie.com/xmlrpc.php?rsd	D:/dev/wp-portfolio-scraped/archive-portfolio-wp-2026/oliverstadie.com/xmlrpc0db0.php	(from https://oliverstadie.com/)
14:55:00	39472/39472	---M--	200	added ('OK')	image/png	etag:%229a30-534ae13f5c198%22	https://oliverstadie.com/wp-content/uploads/2014/08/about-Featured-Image.png	D:/dev/wp-portfolio-scraped/archive-portfolio-wp-2026/oliverstadie.com/wp-content/uploads/2014/08/about-Featured-Image.png	(from https://oliverstadie.com/)
14:55:00	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-4ed4785da9bc0%22	https://oliverstadie.com/wp-includes/wlwmanifest.xml	D:/dev/wp-portfolio-scraped/archive-portfolio-wp-2026/oliverstadie.com/wp-includes/wlwmanifest.xml	(from https://oliverstadie.com/)
14:55:01	216877/216877	---M-Z	200	added ('OK')	application/rss+xml	etag:%2289abaf38ae3c103856ef03047c4a3bd9-gzip%22	https://oliverstadie.com/feed/	D:/dev/wp-portfolio-scraped/archive-portfolio-wp-2026/oliverstadie.com/feed/index.html	(from https://oliverstadie.com/)
14:55:01	1094/1094	---MC-	200	added ('OK')	application/json	date:Thu,%2019%20Mar%202026%2013:53:35%20GMT	https://oliverstadie.com/wp-json/	D:/dev/wp-portfolio-scraped/archive-portfolio-wp-2026/oliverstadie.com/wp-json/index.html	(from https://oliverstadie.com/)
14:55:01	73/73	---MC-	404	error ('Not%20Found')	application/json	date:Thu,%2019%20Mar%202026%2013:53:36%20GMT	https://oliverstadie.com/wp-json/oembed/1.0/embed?url=%2F	D:/dev/wp-portfolio-scraped/archive-portfolio-wp-2026/oliverstadie.com/wp-json/oembed/1.0/embed.d00f2.delayed	(from https://oliverstadie.com/)
14:55:01	37834/37834	---M-Z	200	added ('OK')	application/javascript	etag:W/%220-gzip%22	https://oliverstadie.com/wp-includes,_js,_jquery,_jquery-migrate.min.js,qver==1.4.1+wp-content,_plugins,_contact-bank,_assets,_js,_jquery.Tooltip.js,qver==4.5.32+wp-content,_plugins,_contact-bank,_assets,_js,_jquery.validate.min.js,qver==4.5.32+wp-content,_plugins,_simple-follow-me-social-buttons-widget,_assets,_js,_front-widget.js,qver==3.3.3.pagespeed.jc.22H-zikdz-.js	D:/dev/wp-portfolio-scraped/archive-portfolio-wp-2026/oliverstadie.com/wp-includes,_js,_jquery,_jquery-migrate.min.js,qver==1.4.1+wp-content,_plugins,_contact-bank,_assets,_js,_jquery.Tooltip.js,qver==4.5.32+wp-content,_plugins,_contact	(from https://oliverstadie.com/)
14:55:01	96779/96779	---M-Z	200	added ('OK')	application/javascript	etag:W/%220-gzip%22	https://oliverstadie.com/wp-includes/js/jquery/jquery.js,qver=1.12.4.pagespeed.jm.gp20iU5FlU.js	D:/dev/wp-portfolio-scraped/archive-portfolio-wp-2026/oliverstadie.com/wp-includes/js/jquery/jquery.js,qver=1.12.4.pagespeed.jm.gp20iU5FlU.js	(from https://oliverstadie.com/)
